Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00938/GC,"Carnes y embutidos Chacón, S.L.","Palmas, Las/ARRECIFE","RW, MM, MP, PP",,MP,
10.02499/TF,EXPLOTACIONES GANADERAS DE TENERIFE S.A. EGATESA,Santa Cruz de Tenerife/ROSARIO (EL),"CS, RW, CP, MM, MP, PP",,MP,
10.02847/GC,"ESTABLECIMIENTOS LA GARRIGUELLA, S.L.","Palmas, Las/TELDE",PP,,MP,
10.02911/GC,"Pérez Ojeda, Eusebio Benito","Palmas, Las/TEROR",PP,,"BL, MP",
10.02980/GC,"EMBUTIDOS LOS NUECES, S.L.","Palmas, Las/TEROR",PP,,"BL, MP",
10.03047/TF,"SPRUNGMANN SCHOEGA, GERARDO",Santa Cruz de Tenerife/OROTAVA (LA),"MM, MP, PP",,MP,
10.03088/TF,"WURSTQUELLE, S.A.",Santa Cruz de Tenerife/OROTAVA (LA),PP,,MP,
10.03095/TF,"CONCEPCION MEDINA, JOSE AGUSTIN",Santa Cruz de Tenerife/LLANOS DE ARIDANE (LOS),PP,,MP,
10.03301/GC,"FABRICA DE EMBUTIDOS DANESA ARNE, S.L.","Palmas, Las/PALMAS DE GRAN CANARIA (LAS)",PP,,MP,
10.03415/TF,"Montesano Canarias, SA",Santa Cruz de Tenerife/ROSARIO (EL),"CP, MM, MP, PP",,MP,
10.03566/GC,"ORTIZ NAVARRO, ESTRELLA","Palmas, Las/SANTA BRIGIDA",PP,,MP,
10.03619/TF,"GIL GONZALEZ, FERMIN",Santa Cruz de Tenerife/TACORONTE,PP,,MP,
10.03716/TF,HERNANDEZ BARRIOS MARIA DEL CARMEN,Santa Cruz de Tenerife/SILOS (LOS),PP,,MP,
10.04701/TF,"VIERA MARTIN, OLGA",Santa Cruz de Tenerife/SAN CRISTOBAL DE LA LAGUNA,PP,,MP,
10.05239/TF,"PEREZ BAEZ, GRACILIANO MIGUEL",Santa Cruz de Tenerife/ARONA,"MM, MP, PP",,MP,
